Name,Category
s001-01_img.tif,HAPPY
s001-02_img.tif,SAD
s001-03_img.tif,SURPRISED
s001-04_img.tif,ANGRY
s001-05_img.tif,DISGUST
s001-06_img.tif,FEAR
s002-01_img.tif,HAPPY
s002-02_img.tif,SAD
s002-03_img.tif,SURPRISED
s002-04_img.tif,ANGRY
s002-05_img.tif,DISGUST
s002-06_img.tif,FEAR
s003-01_img.tif,HAPPY
s003-02_img.tif,SAD
s003-03_img.tif,SURPRISED
s003-04_img.tif,ANGRY
s003-05_img.tif,DISGUST
s003-06_img.tif,FEAR
s004-01_img.tif,HAPPY
s004-02_img.tif,SAD
s004-03_img.tif,SURPRISED
s004-04_img.tif,ANGRY
s004-05_img.tif,DISGUST
s004-06_img.tif,FEAR
s005-01_img.tif,HAPPY
s005-02_img.tif,SAD
s005-03_img.tif,SURPRISED
s005-04_img.tif,ANGRY
s005-05_img.tif,DISGUST
s005-06_img.tif,FEAR
s006-01_img.tif,HAPPY
s006-02_img.tif,SAD
s006-03_img.tif,SURPRISED
s006-04_img.tif,ANGRY
s006-05_img.tif,DISGUST
s006-06_img.tif,FEAR
s007-01_img.tif,HAPPY
s007-02_img.tif,SAD
s007-03_img.tif,SURPRISED
s007-04_img.tif,ANGRY
s007-05_img.tif,DISGUST
s007-06_img.tif,FEAR
s008-01_img.tif,HAPPY
s008-02_img.tif,SAD
s008-03_img.tif,SURPRISED
s008-04_img.tif,ANGRY
s008-05_img.tif,DISGUST
s008-06_img.tif,FEAR
s009-01_img.tif,HAPPY
s009-02_img.tif,SAD
s009-03_img.tif,SURPRISED
s009-04_img.tif,ANGRY
s009-05_img.tif,DISGUST
s009-06_img.tif,FEAR
s010-01_img.tif,HAPPY
s010-02_img.tif,SAD
s010-03_img.tif,SURPRISED
s010-04_img.tif,ANGRY
s010-05_img.tif,DISGUST
s010-06_img.tif,FEAR
s011-01_img.tif,HAPPY
s011-02_img.tif,SAD
s011-03_img.tif,SURPRISED
s011-04_img.tif,ANGRY
s011-05_img.tif,DISGUST
s011-06_img.tif,FEAR
s012-01_img.tif,HAPPY
s012-02_img.tif,SAD
s012-03_img.tif,SURPRISED
s012-04_img.tif,ANGRY
s012-05_img.tif,DISGUST
s012-06_img.tif,FEAR
s013-01_img.tif,HAPPY
s013-02_img.tif,SAD
s013-03_img.tif,SURPRISED
s013-04_img.tif,ANGRY
s013-05_img.tif,DISGUST
s013-06_img.tif,FEAR
s014-01_img.tif,HAPPY
s014-02_img.tif,SAD
s014-03_img.tif,SURPRISED
s014-04_img.tif,ANGRY
s014-05_img.tif,DISGUST
s014-06_img.tif,FEAR
s015-01_img.tif,HAPPY
s015-02_img.tif,SAD
s015-03_img.tif,SURPRISED
s015-04_img.tif,ANGRY
s015-05_img.tif,DISGUST
s015-06_img.tif,FEAR
s016-01_img.tif,HAPPY
s016-02_img.tif,SAD
s016-03_img.tif,SURPRISED
s016-04_img.tif,ANGRY
s016-05_img.tif,DISGUST
s016-06_img.tif,FEAR
s017-01_img.tif,HAPPY
s017-02_img.tif,SAD
s017-03_img.tif,SURPRISED
s017-04_img.tif,ANGRY
s017-05_img.tif,DISGUST
s017-06_img.tif,FEAR
s018-01_img.tif,HAPPY
s018-02_img.tif,SAD
s018-03_img.tif,SURPRISED
s018-04_img.tif,ANGRY
s018-05_img.tif,DISGUST
s018-06_img.tif,FEAR
s019-01_img.tif,HAPPY
s019-02_img.tif,SAD
s019-03_img.tif,SURPRISED
s019-04_img.tif,ANGRY
s019-05_img.tif,DISGUST
s019-06_img.tif,FEAR
s021-01_img.tif,HAPPY
s021-02_img.tif,SAD
s021-03_img.tif,SURPRISED
s021-04_img.tif,ANGRY
s021-05_img.tif,DISGUST
s021-06_img.tif,FEAR
s023-01_img.tif,HAPPY
s023-02_img.tif,SAD
s023-03_img.tif,SURPRISED
s023-04_img.tif,ANGRY
s023-05_img.tif,DISGUST
s023-06_img.tif,FEAR
s024-01_img.tif,HAPPY
s024-02_img.tif,SAD
s024-03_img.tif,SURPRISED
s024-04_img.tif,ANGRY
s024-05_img.tif,DISGUST
s024-06_img.tif,FEAR
s025-01_img.tif,HAPPY
s025-02_img.tif,SAD
s025-03_img.tif,SURPRISED
s025-04_img.tif,ANGRY
s025-05_img.tif,DISGUST
s025-06_img.tif,FEAR
s026-01_img.tif,HAPPY
s026-02_img.tif,SAD
s026-03_img.tif,SURPRISED
s026-04_img.tif,ANGRY
s026-05_img.tif,DISGUST
s026-06_img.tif,FEAR
s027-01_img.tif,HAPPY
s027-02_img.tif,SAD
s027-03_img.tif,SURPRISED
s027-04_img.tif,ANGRY
s027-05_img.tif,DISGUST
s027-06_img.tif,FEAR
s028-01_img.tif,HAPPY
s028-02_img.tif,SAD
s028-03_img.tif,SURPRISED
s028-04_img.tif,ANGRY
s028-05_img.tif,DISGUST
s028-06_img.tif,FEAR
s029-01_img.tif,HAPPY
s029-02_img.tif,SAD
s029-03_img.tif,SURPRISED
s029-04_img.tif,ANGRY
s029-05_img.tif,DISGUST
s029-06_img.tif,FEAR
s030-01_img.tif,HAPPY
s030-02_img.tif,SAD
s030-03_img.tif,SURPRISED
s030-04_img.tif,ANGRY
s030-05_img.tif,DISGUST
s030-06_img.tif,FEAR
s031-01_img.tif,HAPPY
s031-02_img.tif,SAD
s031-03_img.tif,SURPRISED
s031-04_img.tif,ANGRY
s031-05_img.tif,DISGUST
s031-06_img.tif,FEAR
s032-01_img.tif,HAPPY
s032-02_img.tif,SAD
s032-03_img.tif,SURPRISED
s032-04_img.tif,ANGRY
s032-05_img.tif,DISGUST
s032-06_img.tif,FEAR
s033-01_img.tif,HAPPY
s033-02_img.tif,SAD
s033-03_img.tif,SURPRISED
s033-04_img.tif,ANGRY
s033-05_img.tif,DISGUST
s033-06_img.tif,FEAR
s034-01_img.tif,HAPPY
s034-02_img.tif,SAD
s034-03_img.tif,SURPRISED
s034-04_img.tif,ANGRY
s034-05_img.tif,DISGUST
s034-06_img.tif,FEAR
s035-01_img.tif,HAPPY
s035-02_img.tif,SAD
s035-03_img.tif,SURPRISED
s035-04_img.tif,ANGRY
s035-05_img.tif,DISGUST
s035-06_img.tif,FEAR
s036-01_img.tif,HAPPY
s036-02_img.tif,SAD
s036-03_img.tif,SURPRISED
s036-04_img.tif,ANGRY
s036-05_img.tif,DISGUST
s036-06_img.tif,FEAR
s037-01_img.tif,HAPPY
s037-02_img.tif,SAD
s037-03_img.tif,SURPRISED
s037-04_img.tif,ANGRY
s037-05_img.tif,DISGUST
s037-06_img.tif,FEAR
s038-01_img.tif,HAPPY
s038-02_img.tif,SAD
s038-03_img.tif,SURPRISED
s038-04_img.tif,ANGRY
s038-05_img.tif,DISGUST
s038-06_img.tif,FEAR
